front,back
"Quelle est la capitale de la France?","Paris"
"En quelle année a été créée la Ve République?","1958"
"Quel est le nombre de députés à l'Assemblée nationale?","577"
"Qui est le chef de l'État français?","Le Président de la République"
"Quel est le rôle du Conseil constitutionnel?","Vérifier la conformité des lois à la Constitution"
"Combien de membres compte le Sénat?","348"
"Quelle est la durée du mandat présidentiel?","5 ans"
"Qui préside le Conseil des ministres?","Le Premier ministre"
"Quel est le nombre de régions en France métropolitaine?","13"
"Quelle institution contrôle la constitutionnalité des lois?","Le Conseil constitutionnel"

