front;back
Définis / explique : 1re partie;Culture générale, économique et managériale
Définis / explique : 2e partie;Compréhension et expression écrite en français
Définis / explique : Expression écrite;35 questions à cinq choix possibles dont un seul est correct.
Définis / explique : Compréhension d’un texte écrit;15 questions à cinq choix possibles dont un
Définis / explique : 3e partie;Raisonnement logique et numérique
Définis / explique : Logique;10 questions à cinq choix possibles dont un seul est correct
Définis / explique : Raisonnement numérique;10 questions à cinq choix possibles dont un seul est
Définis / explique : 4e partie;Compréhension et expression écrite en anglais
Définis / explique : Ce sont des questions portant sur la langue anglaise;vocabulaire, orthographe,
Définis / explique : d’inquiétude;il s’agit d’un QCM, donc on ne vous demande pas de démontrer
Définis / explique : Vous avez échoué;ce n’est pas grave, vous pouvez repasser le Score IAE-
Définis / explique : Actualité;Il est capital de suivre l’actualité, de préférence par la presse écrite,
Définis / explique : Économie;Il faut connaître les événements concernant les grandes entreprises, savoir
Définis / explique : Arts et littérature;Vous serez interrogé sur les œuvres, les prix (Nobel, Goncourt),
Définis / explique : Histoire et géographie;C’est surtout l’histoire qui fait l’objet de questions et
Définis / explique : Politique et institutions;Travaillez bien les institutions européennes et onu-
Définis / explique : Sports et jeux;Les questions sont généralement en lien avec l’actualité (JO,
Définis / explique : Thèmes divers;Il peut s’agir d’écologie, de la presse, de santé publique ou de
Que se passe-t-il à la date suivante : 1774-1792 ?;"Louis XVI ; crise"
Définis / explique : Thermidor);chute de
Définis / explique : na;r O 41 noitu
Définis / explique : 45;indép. du Viêt Nam
Définis / explique : 46-54;guerre d’indép.
Définis / explique : 48;création de l’État
Définis / explique : 44;accords de Bretton
Définis / explique : 44;création du FMI
Définis / explique : 45;création de l’ONU
Définis / explique : 1. L’exécutif;il fait appliquer la politique
Définis / explique : Élection;Il est élu au suffrage universel direct, au moyen d’un scrutin uninomi-
Définis / explique : Attributions;1er personnage de l’État, il dirige la diplomatie, promulgue les
Définis / explique : Responsabilité;Civilement et pénalement irresponsable durant son mandat.
Définis / explique : Pouvoir de nomination;Il nomme seul le Premier ministre, un tiers des
Définis / explique : des hautes fonctions;conseillers d’État, préfets, recteurs...
Définis / explique : Nomination;Il est nommé librement par le président de la République, mais
Définis / explique : Attributions;Il dirige l’action gouvernementale et l’administration française,
Définis / explique : Fin des fonctions;Elle intervient lors d’une nouvelle élection législative (mais
